userReview,score,thumbsUpCount,reviewCreatedVersion,review_datetime,replyContent,repliedAt,sentimentRating,sentimentScore
no clarification need detailed explanation,5,0,2.2.3,30-07-2022 01:12,"Hey Syed. Nachiketa here, the developer on glyde. We would love to understand where you are facing issues. If you need clarification on anything, you can raise a ticket from the app or drop us a mail at help@quicko.com",29-07-2022 23:52,2 star,0.31704554
"Excellent and that too free, Thanks a lot",5,1,2.2.3,30-07-2022 00:21,,,5 star,0.843815684
Simply Superb,5,0,2.2.3,29-07-2022 21:27,,,5 star,0.863516092
very good,4,0,2.2.3,29-07-2022 21:02,,,5 star,0.547944486
"I upgraded to pro, but I am not able to link groww account with glyde, it says failed to connect. If this was the case why did I have to pay extra to link 2 or more trading account",2,5,2.2.3,29-07-2022 20:59,,,2 star,0.379793108
The best portal ever! Hats off to the complete team for making an amazing platform for taxes.,5,3,2.2.3,29-07-2022 17:25,,,5 star,0.970304012
Very good app! Filed my ITR with ease!,5,2,2.2.2,29-07-2022 17:12,,,5 star,0.722965658
How to upload mutual fund gains There is no option available,4,0,2.2.2,29-07-2022 08:13,,,1 star,0.235843927
it's just gri,5,0,2.2.2,28-07-2022 22:18,,,3 star,0.310442477
"Great app, the best for tax filing. It's easy, smooth and very quick. Any novice can easily file tax using it. One thing though, the desktop version is not available.",5,20,2.2.2,28-07-2022 20:56,,,4 star,0.659196854
Not able to submit the ITR,2,0,2.2.2,28-07-2022 12:52,"Hey Harivardhan, Nachiketa here. We would be glad to help you out with your situation but for that, we need a bit more information. Would you mind sharing the issue you are facing with us via help@quicko.com?",28-07-2022 12:57,1 star,0.516027689
very easy and smooth application for itr e-filing,5,2,2.2.1,28-07-2022 03:01,,,5 star,0.621278822
"Wonderful, fast and free IT interface. Thanks to the Glyde team.",5,2,2.2.1,27-07-2022 21:51,,,5 star,0.818232596
"Amazing user interface, all details were auto populated, filing tax couldn't have been easier. Kudos to the development team.",5,12,2.2.1,27-07-2022 20:35,,,5 star,0.697924376
Fraud and cheater app. Don't use this app at all. #TimeWaste,1,0,,27-07-2022 15:02,"Hey Aman. Nachiketa here, the developer on glyde. We've been helping a whole bunch of people successfully file their tax returns. If you're facing some issue with your experience of the app, we'll be happy to help you out.",27-07-2022 15:05,1 star,0.950478733
Best app I have ever used.,5,0,2.2.1,27-07-2022 14:05,,,5 star,0.967899621
superb ..very easy to file return.,5,2,2.2.1,27-07-2022 08:05,,,5 star,0.796910703
very easy to file,5,0,2.2.1,27-07-2022 00:22,,,5 star,0.569031119
good,5,0,2.2.1,26-07-2022 05:52,,,4 star,0.496963173
"Glyde is such a wonderful app. I was struggling with filling my taxes. Even on sites like cleartax, it is so difficult to figure out the right places to enter details. Glyde just made it so smooth. I could figure out the details easily and also prefill the values from ITD. It is the only app who had an auto import feature for Paytm money which made importing investment details a breeze. Also the team has designed a smooth and wonderful UI. Kudos to them! Love this app! ❤️",5,35,2.2.1,25-07-2022 15:30,,,5 star,0.94307971
really it's a very good tool,5,0,2.2.1,25-07-2022 11:42,,,5 star,0.543521583
Very good app. But I have one issue. I have received arrear salary of previous 4 years. I have filled 10E form in IT website but in app it doesn't show. Is this app supports 10E form??,3,3,2.2.0,24-07-2022 21:42,"Hey Santosh! Nachiketa here. We don't support form 10E as of now. If you have any other questions, feel free to reach out via raising a ticket from the app or sending us an email at help@quicko.com",26-07-2022 00:43,4 star,0.463967681
Done in few clicks. Thanks 🙏,5,0,2.2.0,24-07-2022 20:56,,,4 star,0.32693094
Hassle free ITR filing on Glyde . Simply super.Nice interface. Recommended to all. But no option to file revised returns,5,7,2.1.8,24-07-2022 19:08,"Hey there! Nachiketa here, the developer on glyde. Thanks for using the app. As for the ability to revise and amend your ITR, we are planning to roll that feature out soon.",24-07-2022 21:42,3 star,0.336458892
excellent,5,0,2.1.8,24-07-2022 18:05,,,5 star,0.866912901
"This is an update, it's working really fine, making my work really smooth Thank you.",5,2,2.1.8,24-07-2022 14:05,"Hey Ramesh, we our serves were a bit too hot from all the attention we got suddenly from taxpayers trying to file their ITRs. We are back up and running smoothly now. Can you give it another try and let us know how we did this time around :)",24-12-2021 18:07,5 star,0.715202332
very less payment options,3,0,2.1.8,24-07-2022 00:03,"Hey there. Nachiketa here, the developer on glyde. We would love to help you out if you could expand a bit more on your query. You can drop us a mail at help@quicko.com or send us a message by going to 'raise a ticket' option on the app.",24-07-2022 18:28,2 star,0.442720056
very easy to file tax return,5,0,2.1.8,23-07-2022 10:23,,,5 star,0.296077549
Nil,1,0,2.1.8,22-07-2022 17:58,Hey there. We would love to help you out with your situation if you could kindly let us know any challenges you may be facing. You can drop us an email at help@quicko.com,22-07-2022 18:01,1 star,0.408079505
Where and how to show my 80C deductions? I could not find the column to fill. Not working in a good manner.,1,1,2.1.8,22-07-2022 17:21,"Hey Mukesh, Nachiketa here. You can add your 80C deductions by going to the filing tab, tapping on 'work on your tax return' and going to the deductions section. You can also hit the + button on that screen. 

Hope this helps. If you have any further questions, feel free to reach out to us at help@quicko.com!",22-07-2022 17:25,2 star,0.466677755
Excellent app for filing income tax. All field are auto filled by the app. Fetching all trading data within a fraction of time. I am impressed with this application. Thank you team glyde for making e-filing a cake walk.,5,13,2.1.8,21-07-2022 18:19,,,5 star,0.895601451
How much time it take to fetch broker information I tried 3 times still not updated,5,0,2.1.8,21-07-2022 14:01,"Hey Suresh! Nachiketa here, the developer on glyde. Sorry for the inconvenience. May I ask which broker you are facing this issue with? We would love to help you out with your situation if you would kindly drop us an email at help@quicko.com",21-07-2022 13:56,1 star,0.388108075
"Equity/mf p&l losses are fetched from zerodha, but i had to fill dividend manually. please improve this.",5,1,2.1.8,21-07-2022 12:26,"Hey there, Vijay. Nachiketa over here, I'm the developer on glyde. Thanks for the feedback! We're not importing dividend income from our broker partners due to inconsistency for the amount to be reported. Instead we rely on Autofilling that information through our integration with ITD.",21-07-2022 16:11,3 star,0.329304725
WORKS LIKE MAGIC...SMOOTH AS BUTTER,5,0,2.1.8,21-07-2022 10:03,,,5 star,0.612426281
Nice,5,0,,21-07-2022 02:33,,,4 star,0.436840951
Trying to use for the first time. So far so good. But just wondering how come the app does not provide a step to include past years loss to adjust against current years gains? Am I missing any module in the app ? Please guide. Thank you.,3,35,2.1.8,20-07-2022 21:02,"Hey there! Nachiketa here, the developer on glyde. We currently support Brought Forward Loss via Autofill on Incomes on your ITR summary. We are also constantly adding new features to help users like yourself add some points manually. If you need any more help, you can drop us an email at help@quicko.com",20-07-2022 21:27,4 star,0.481111884
ekdum jhaaaakaaaaasssss app hai ...sab download karo,5,0,2.1.5,14-07-2022 19:49,,,5 star,0.388737679
easy to use,5,0,2.1.5,14-07-2022 12:11,Hey Alok! Glad to learn that you had a good time using the app 😁. Thanks for the feedback.,14-07-2022 12:18,5 star,0.539100707
"It's very easy to File Itr, Good app its very friendly app to understand everything",5,2,2.1.5,13-07-2022 18:29,Hey Varun! Thanks for the review. We are glad that you have a smooth experience 🙂,13-07-2022 20:52,4 star,0.478361458
Smoothly done my itr,5,0,2.1.5,13-07-2022 16:05,Hey Hasan! Thanks for filling through us. Happy to know you had a good experience 😁,13-07-2022 16:23,5 star,0.571975231
Unable to fetch details from Angel One account.,1,1,2.1.0,12-07-2022 21:24,"Hey Rahul. We have been working with Angel One to streamline the integration process. Would love for you to check it out again! If you have any questions, you can reach out at help@quicko.com",24-07-2022 18:31,1 star,0.613737822
Unable to cancel existing meet order and support team is not responding,1,1,2.1.0,07-07-2022 10:27,"Hey Shashank! Nachiketa here, the developer on glyde. Sorry for the inconvenience. We would love to know more about your issue and help you out if you could drop us a mail at help@quicko.com",07-07-2022 10:53,1 star,0.575847805
Can i file itr? NO,1,0,2.0.4,02-07-2022 11:36,Hey Shubham. We've enabled e-filing on glyde and are helping a whole bunch of people like you file their returns!,21-07-2022 16:14,1 star,0.463462383
Every function is in under update progress.... Big wastage of time,1,0,1.3.2,17-06-2022 13:50,Hey Vishal. We have enabled all our integrations now so you can try again and glyde through your taxes!,21-07-2022 16:13,1 star,0.483489007
"Form-16 upload doesn't work.. It says pan not matching, though it's same...",1,1,1.3.2,25-05-2022 16:03,"Hey Niranjan. Nachiketa here, the developer on glyde. Sorry for the inconvenience. You can reach out to us at help@quicko.com and we'll help you with your issue.",25-05-2022 16:14,1 star,0.476497382
Ismein kuch interesting features Nahin Hai Jo is application ko use karu,1,0,1.3.2,16-05-2022 17:23,"Hey Govind. Nachiketa here, the developer on glyde. We have a ton of features to help you file your taxes on the app right now with more exciting features in the pipeline. You can follow our social channels (@HowToQuicko) to stay updated about cool new features coming up on the app.",21-01-2022 11:40,4 star,0.368297905
"App is great, but it should have option to upload form-16 like clear tax, it will save lot of manual entries by the user and ensures accuracy.",3,7,1.3.0,06-05-2022 13:04,"Hello Sainath, Nachiketa here. Thanks for suggestion!  We actually do support Form-16 upload when you choose to add your salary. You can tap on 'Add' Income and pick Salary. Then you'd have an option to either add Upload Form-16 or add manually. 

We'd love to address any other questions you might have, just ping on help@quicko.com!",06-05-2022 13:23,4 star,0.499330699
"It is useless app,doesn't let itr filing and worst is they don't let deactivate tax payer in case i don't want to use this app. Forcedul blackmail, use our app or else forget the data which is stored with them.",1,3,1.2.4,29-04-2022 20:39,"Hey Naveen. Nachiketa here, the developer on glyde. The option to deactivate the taxpayer is in the ""You"" section of the app, easily accessible to anyone. Also, we take utmost care in managing your data in accordance with out privacy policy. We would love to sort any more confusion you may have. You can reach out to us via help@quicko.com!",02-05-2022 10:23,1 star,0.910593331
Not working,1,0,1.2.9,13-04-2022 10:08,Hey Sanjeeb. We have been working hard to enable all the features that our users love over the past few weeks and now we are proudly helping a bunch of people glyde through their taxes! How about giving us another shot?,24-07-2022 18:37,1 star,0.637498081
"Tax begin & stucked there, not processing.",1,1,1.2.9,07-04-2022 22:00,"Hey Rakesh. Nachiketa here, the developer on glyde. Tax filing for this assessment year hasn't started yet. You can still prepare your ITR using glyde though. We will notify you as soon as the filing starts.",08-04-2022 00:03,1 star,0.699195087
"Hi team, I've created an account and later I logged out. Now if i try to login again, it says taxpayer exists and shows me a bug. I've reported the same. Also when the app was accessible, I didnt open the ITR filing part. Infinite loading. Please look into them. Thanks.",3,9,1.2.7,03-03-2022 07:16,Hey Santosh! We have been working hard incorporating all the feedback from users like yourself. Would love for you to give us another shot!,24-07-2022 18:38,1 star,0.703785181
"It shows its waiting for a renewal for sync service from the ITD, so its not doing anything automatically it gives you an option to do things manually.. which kills the purpose of glyde I feel.. how long would this fix take ? Also once i click manual by mistake now it doesn't revert to automatic sync to ITD...",1,15,1.2.7,28-02-2022 13:10,"Hey Steve. We've updated our integration. The Autofill feature is up and running. If you have any further questions, you can reach out to us via help@quicko.com",20-07-2022 20:01,3 star,0.395432144
awesome smooth,5,0,1.2.6,14-01-2022 11:49,,,5 star,0.802241087
